id	title
29875463	1. Wang G, Biswas AK, Ma W, Kandpal M, Coker C, Grandgenett PM, Hollingsworth MA, Jain R, Tanji K, L?pez-Pintado S, Borczuk A, Hebert D, Jenkitkasemwong S, Hojyo S, Davuluri R, Knutson MD, Fukada T and Acharyya S. Metastatic cancers promote cachexia through ZIP14 upregulation in skeletal muscle. Nat Med, June, 24(6): 770-781(2018).
32235902	2. Biswas AK and Acharyya, S. Understanding cachexia in the context of metastatic progression, Nature Reviews Cancer, Mar, 2020. https://doi.org/10.1038/s41568-020-0251-4
0	3. Biswas AK and Acharyya, S. Cancer-associated cachexia: a systemic consequence of cancer progression, Annual Review of Cancer Biology, Volume 4, 2020, 391-411.
31861290	4. Shakri A.R*., Zhong T.J*., Ma W*., Coker C., Kim S., Calluori S., Scholze H., Szabolcs M., Caffrey T., Grandgenett P.M., Hollingsworth M.A., Tanji K., Kluger M.D., Miller G., Biswas A.K., Acharyya S. Upregulation of ZIP14 and Altered Zinc Homeostasis in Muscles in Pancreatic Cancer Cachexia. Cancers, 2020, 12, 3.
31615873	5. Biswas AK and Acharyya, S. The Etiology and Impact of Muscle Wasting in Metastatic Cancer. Cold Spring Harb Perspect Med, Oct 15, (2019) Epub ahead of print.
22770218	6. Acharyya S, Oskarsson T, Vanharanta S, Malladi S, Kim J, Morris PG, Manova-Todorova K, Leversha M, Hogg N, Seshan VE, Norton L, Brogi E and Massague J, A CXCL1 paracrine network links cancer chemoresistance and metastasis. Cell, 150(1), 165-178(2012). 
21706029	7. Oskarsson T, Acharyya S, Zhang XHF, Vanharanta S, Tavazoie SF, Morris PG, Downey RJ, Manova-Todorova K, Brogi E and Massague J. Breast cancer cells produce tenascin-C as a metastatic niche component to colonize the lungs. Nature Medicine, 17, 867-74 (2011). PMID 21706029
27660506	8. Consul N, Guo X, Coker C, Pintado-Lopez S, Hibshoosh H, Zhao B, Kalinsky K and Acharyya S, Monitoring metastasis and cachexia in a patient with breast cancer: a case-study. Clin Med Insights Oncol., 2016: 10, 83-94.
PMC5055184	9. Shiono M*, Huang K*, Downey RJ, Consul N, Villanueva N, Beck K, Fenn K, Dietz D, Yamaguchi T, Kato S, Divgi C, Kalinsky K, Wei Y, Zhang Y, Borczuk AC, Inoue A, Halmos B, Acharyya S., An analysis of the relationship between metastases and cachexia in lung cancer patients. Cancer Med, 2016. PMC5055184
17380205	10. Acharyya S, Villalta SA, Bakkar N, Bupha-Intr T, Janssen PML, Carathers M, Karin M, Li ZW, Beg A, Ghosh S, Sahenk Z, Weinstein M, Gardner KL, Rafael-Fortney JA, Tidball JG, Baldwin AS and Guttridge DC. IKK/NF-kB Signaling Interplay in Macrophages and Myofibers Promotes Muscle Wasting in Duchenne Muscular Dystrophy. J Clin Invest, 117(4): 889-901. (2007). PMID  17380205
16286249	11. Acharyya S, Butchbach ME, Sahenk Z, Wang H, Saji M, Carathers M, Ringel MD, Skipworth RJ, Fearon KC, Hollingsworth MA, Muscarella P, Burghes AH, Rafael-Fortney JA, Guttridge DC.  Dystrophin glycoprotein complex dysfunction: a regulatory link between muscular dystrophy and cancer cachexia. Cancer Cell, 8(5): 421-32 (2005). PMID 16286249
15286803	12. Acharyya S, Ladner KJ, Nelsen LL, Damrauer J, Reiser PJ, Swoap S and Guttridge DC. Cancer cachexia is regulated by selective targeting of skeletal muscle gene products. J Clin Invest, 114(3): 370-8 (2004). PMID 15286803
